original_file,generated_file,original_width,original_height,original_channels,original_size_mb,original_status,generated_width,generated_height,generated_channels,generated_size_mb,generated_status,size_match,original_resolution,generated_resolution
TNTMEDIA-1155.jpg,TNTMEDIA-1155_catvton_00001_.png,4000,6000,3,1.21,OK,4000,6000,3,8.92,OK,True,4000x6000,4000x6000
TNTMEDIA-1163.jpg,TNTMEDIA-1163_catvton_00001_.png,4000,6000,3,1.14,OK,4000,6000,3,10.21,OK,True,4000x6000,4000x6000
TNTMEDIA-2538.jpg,TNTMEDIA-2538_catvton_00001_.png,3456,5184,3,0.84,OK,3456,5184,3,7.61,OK,True,3456x5184,3456x5184
TNTMEDIA-2509.jpg,TNTMEDIA-2509_catvton_00001_.png,3456,5184,3,0.98,OK,3456,5184,3,7.75,OK,True,3456x5184,3456x5184
TNTMEDIA-1056.jpg,TNTMEDIA-1056_catvton_00001_.png,4000,6000,3,1.01,OK,4000,6000,3,9.85,OK,True,4000x6000,4000x6000
TNTMEDIA-1905.jpg,TNTMEDIA-1905_catvton_00001_.png,4000,6000,3,1.33,OK,4000,6000,3,9.36,OK,True,4000x6000,4000x6000
TNTMEDIA-2517.jpg,TNTMEDIA-2517_catvton_00001_.png,3456,5184,3,0.81,OK,3456,5184,3,7.01,OK,True,3456x5184,3456x5184
TNTMEDIA-2549.jpg,TNTMEDIA-2549_catvton_00001_.png,3456,5184,3,1.03,OK,3456,5184,3,8.45,OK,True,3456x5184,3456x5184
TNTMEDIA-1059.jpg,TNTMEDIA-1059_catvton_00001_.png,4000,6000,3,0.97,OK,4000,6000,3,12.38,OK,True,4000x6000,4000x6000
TNTMEDIA-2571.jpg,TNTMEDIA-2571_catvton_00001_.png,3456,5184,3,1.02,OK,3456,5184,3,8.32,OK,True,3456x5184,3456x5184
TNTMEDIA-1192.jpg,TNTMEDIA-1192_catvton_00001_.png,4000,6000,3,1.27,OK,4000,6000,3,10.41,OK,True,4000x6000,4000x6000
TNTMEDIA-1158.jpg,TNTMEDIA-1158_catvton_00001_.png,4000,6000,3,1.01,OK,4000,6000,3,10.97,OK,True,4000x6000,4000x6000
TNTMEDIA-1058.jpg,TNTMEDIA-1058_catvton_00001_.png,4000,6000,3,0.97,OK,4000,6000,3,11.59,OK,True,4000x6000,4000x6000
TNTMEDIA-1182.jpg,TNTMEDIA-1182_catvton_00001_.png,4000,6000,3,1.35,OK,4000,6000,3,10.43,OK,True,4000x6000,4000x6000
TNTMEDIA-1183.jpg,TNTMEDIA-1183_catvton_00001_.png,4000,6000,3,1.23,OK,4000,6000,3,9.86,OK,True,4000x6000,4000x6000
